name,loc,style,size,price,foc
御泉华庭  ,"123.469293676,41.8217831815", 4室2厅 , 188,235,131
雍熙金园  ,"123.514657521,41.7559905968", 3室1厅 , 114.45,105,37
金地檀溪  ,, 3室2厅 , 123.97,168,76
格林生活坊一期  ,"123.399860338,41.7523981056", 3室2厅 , 136.56,212,4
格林生活坊三期  ,"123.403824342,41.7530579154", 3室2厅 , 119.94,208,12
沿海赛洛城  ,"123.466932152,41.7359842248", 1室0厅 , 53.73,44.5,170
河畔花园  ,"123.44647624,41.7626893176", 2室2厅 , 119.46,95,92
格林英郡  ,"123.398062037,41.7313954715", 2室2厅 , 72.8,76,63
锦绣江南  ,"123.467625065,41.7721605513", 2室1厅 , 74,58,108
越秀星汇蓝海  ,"123.392916381,41.7443826647", 2室1厅 , 78.49,123,5
沿海赛洛城  ,"123.466932152,41.7359842248", 1室1厅 , 65.29,61.5,55
万科鹿特丹  ,"123.40598605,41.735764965", 2室2厅 , 91.99,148,14
第一城F组团  ,"123.353059079,41.8133700476", 1室1厅 , 54.85,60,17
金地国际花园  ,"123.492244161,41.7499846845", 2室1厅 , 97.43,115,318
阳光尚城4.1期  ,"123.404506578,41.8694649859", 2室2厅 , 98.26,81,166
第一城A组团  ,"123.353059079,41.8133700476", 3室1厅 , 98.59,94,97
格林生活坊三期  ,"123.403824342,41.7530579154", 3室2厅 , 109.67,178,4
万科城二期  ,"123.398145174,41.7557053445", 3室2厅 , 127.25,190,8
新世界花园朗怡居  ,"123.427037331,41.7630801404", 4室2厅 , 160.26,260,20
SR国际新城  ,"123.458870231,41.738396671", 2室1厅 , 91.08,83,23
锦绣江南  ,"123.467625065,41.7721605513", 4室3厅 , 162.46,105,63
首创国际城  ,"123.45412981,41.7393217732", 4室2厅 , 186.22,200,5
第五大道花园  ,"123.469323482,41.7747212688", 3室2厅 , 134.86,140,22
华茂中心  ,"123.470507089,41.6942226532", 1室1厅 , 42.6,42.5,11
金水花城一期  ,"123.47541524,41.756147606", 2室2厅 , 99.94,115,27
城中艺景  ,"123.466725917,41.8248084106", 3室2厅 , 114.31,135,16
碧桂园银河城星语苑  ,"123.339742461,41.7557036556", 7室3厅 , 164.92,198,10
第一城G组团  ,"123.353059079,41.8133700476", 2室2厅 , 105.73,130,4
首创国际城  ,"123.45412981,41.7393217732", 1室1厅 , 51.67,57,9
华明小区  ,"123.449158587,41.796353191", 2室1厅 , 80.28,48,25
御泉华庭  ,"123.469293676,41.8217831815", 4室2厅 , 188,235,131
雍熙金园  ,"123.514657521,41.7559905968", 3室1厅 , 114.45,105,37
